lat,lng
55.46834,-4.61059
51.41003,-0.30224
51.41059,-0.30485
51.38607,-0.41921
51.33178,-0.26934
51.33414,-0.26509
51.40128,-0.25642
51.39234,-0.30569
56.13969,-3.15233
56.08078,-3.41372
56.07836,-3.39825
56.07163,-3.46005
56.13354,-3.2007
56.19885,-3.16861
53.39639,-2.98459
53.40534,-2.97914
53.40655,-2.98051
53.45703,-2.90974
53.40892,-2.92286
53.38123,-2.9543
53.40549,-2.98559
53.45192,-2.99048
53.35033,-2.87915
53.35856,-2.86523
53.39107,-2.85629
53.48538,-2.9631
53.48406,-2.88492
53.42726,-2.79923
53.42187,-2.86231
53.41017,-2.83787
53.56783,-2.88762
53.43654,-2.97201
53.43912,-2.94005
53.41172,-2.94509
53.45703,-2.96305
53.48259,-2.95138
54.04842,-2.79888
54.11356,-3.22519
54.11035,-3.22659
54.06227,-2.83194
54.32921,-2.74587
52.63562,-1.13251
52.63202,-1.13258
52.55622,-1.37761
52.75917,-1.20575
52.77099,-1.20543
52.76489,-0.88024
52.5111,-0.94176
52.5885,-1.10353
52.59726,-1.17462
52.59727,-1.17609
52.60213,-1.18819
52.66631,-1.16537
52.66324,-1.12955
52.68416,-1.0946
52.64725,-1.0691
52.75097,-1.44668
52.73228,-1.37461
53.04679,-2.99616
52.94978,-3.04345
53.31612,-3.48589
53.28442,-3.56862
53.31986,-3.81972
53.28345,-3.80972
53.13366,-4.26962
53.21286,-4.14471
53.30385,-4.63012
53.24133,-0.50944
53.22735,-0.53987
53.22699,-0.55073
53.21189,-0.56978
53.17713,-0.62021
53.7961,-1.5428
53.79752,-1.542
53.78223,-1.52799
53.77705,-1.57051
53.75548,-1.57377
53.79394,-1.62183
53.8054,-1.47843
53.79173,-1.42835
53.83653,-1.61702
53.79447,-1.54745
53.80061,-1.54469
53.86966,-1.70382
53.73556,-1.61014
53.80254,-1.67352
53.80624,-1.58323
53.82107,-1.4965
51.87905,-0.41601
51.90687,-0.45799
51.88748,-0.51061
51.90132,-0.65041
51.92664,-0.57833
53.4749,-2.2426
53.48473,-2.19602
53.46497,-2.21572
53.4674,-2.23447
53.44019,-2.22031
53.46125,-2.2461
53.46618,-2.35365
53.45915,-2.16142
53.43513,-2.18321
53.48065,-2.24369
53.42041,-2.25911
53.43753,-2.27325
53.38049,-2.26057
53.40034,-2.28904
53.5491,-2.19988
53.55831,-2.32917
53.51386,-2.32367
53.52472,-2.40116
53.48812,-2.24117
53.45877,-2.11658
53.48264,-2.2432
53.50369,-2.17813
53.45996,-2.35699
53.46861,-2.34507
53.54329,-2.29117
53.5135,-2.47206
53.48337,-2.27595
53.47504,-2.26507
53.48161,-2.33004
53.50167,-2.25824
53.51317,-2.21272
",51.3439",",0.73364"
",51.4415",",0.75904"
",51.2765",",0.52217"
",51.2720",",0.52628"
",51.2670",",0.61422"
",51.3954",",0.49411"
",51.3806",",0.48051"
",51.4002",",0.51481"
",51.3826",",0.52575"
